Kód lokace;Èíslo zboí;Èíslo zboí dodavatele;Kód varianty;Popis zboí;Popis varianty;Zásoba;Prodejní jednotka;Jednotková cena;DPH %;Cena vè. DPH;Èárové kódy
01;01070;2341013;;TROPE - tìstoviny krouky 10kg;;8;KS;267,57;15;307,7;8591682010705, 8594000140313
01;01080;2341017;;TROPE - tìstoviny se zeleninou 10kg;;60;KS;272;15;312,8;8591682010804, 8594000140252
01;01090;2341021;;TROPE - tìstoviny s øasou 10kg;;1;KS;275,48;15;316,8;8591682010903, 8594000140283
01;01210;1210;;Dingo suchary STANDARD pøírodní 13 kg;;48;BAL;599,13;15;689;8591682012105, 8594050180086
01;01240;;;PIŠKOTY pro zvíøata 250 g;;512;KS;17,65;15;20,3;8594060381404
01;01280;1313901B11X70;;MINI MARROW BONE BROWN - mini váleèky 1 kg;;62;KG;456,17;15;524,6;8591682012808
01;01290;1313924B12X70;;MINI MARROW BONE MIX - mini barevné váleèky 1 kg;;106;KG;456,17;15;524,6;8591682012907
01;01300;1313924B06X70;;MARROW BONE MIX - barevné váleèky 1 kg;;123;KG;456,17;15;524,6;8591682013003
01;01310;1301133X70;;ANIMAL LOVER BONBON MIX - barevné váleèky 1 kg;;147;KG;456,17;15;524,6;8591682013102
01;01320;1311524X70;;COOKIE MIX - lepené obdelníèky barevné 1 kg;;101;KG;456,17;15;524,6;8591682013201
01;01330;1313906B08X70;;SANDWICH HEARTS - lepená srdíèka 1 kg;;98;KG;456,17;15;524,6;8591682013300
01;01340;1313924B17X70;;SANDWICH BONE MIX - lepené kostièky 1 kg;;94;KG;456,17;15;524,6;8591682013409
01;01350;1313906B07X70;;SANDWICH OVAL - lepená koleèka 1 kg;;116;KG;456,17;15;524,6;8591682013508
01;01360;1008102X70;;DOG PAW - lepené koleèko s tlapkou 1 kg;;80;KG;456,17;15;524,6;8591682013607
01;01400;1710126X70;;JUNIOR MIX - vícebarevné kostièky 1kg;;108;KG;421,13;15;484,3;8591682014000
01;01410;1716573X50;;PUPPY MIX WITH VANILLA - vanilkové kostièky 1 kg;;65;KG;315,83;15;363,2;8591682014109
01;01460;1319224X70;;SNACKY MIX koleèko s barevnou nádivkou 1kg;;73;KG;456,17;15;524,6;8591682014604
01;01470;1301224X70;;ANIMAL LOVER MIX - váleèky s barevnou náplní 1 kg;;82;KG;456,17;15;524,6;8591682014703
01;01480;1318585X70;;ROASTIES POPPY SEED - snack mix se sezamem 1 kg;;101;KG;456,17;15;524,6;8591682014802
01;01490;1413400X01;;CORN RING - kukuøièné koleèko 1 kg;;133;KG;421,13;15;484,3;8591682014901
01;01500;1404226X70;;ANIMAL MIX - rùznobarevná zvíøátka 1 kg;;23;KG;421,13;15;484,3;8591682015007, 4021803884303
01;01510;1719220X70;;RATITE SNACK MIX - dvoubarevné sušenky ptáci 1 kg;;102;KG;501,83;15;577,1;8591682015106
01;01511;;;Dingo kosti  - barevné 15cm 8ks/bal.;;0;BAL;80,78;15;92,9;8591682015113, 8594050180239
01;01520;1716129X70;;SPRING MIX - jarní mix (kuøátko,zajíèek,slepièka,vajíèko)1kg;;78;KG;501,83;15;577,1;8591682015205
01;01530;1013830X70;;CHOPS - snack kotletky dvoubarevné 1 kg;;74;KG;517,57;15;595,2;8591682015304
01;01540;1708134X70;;DRUMSTICK MIX - kuøecí palièky mix barev 1 kg;;70;KG;456,17;15;524,6;8591682015403
