Kód lokace;Èíslo zboí;Èíslo zboí dodavatele;Kód varianty;Popis zboí;Popis varianty;Zásoba;Prodejní jednotka;Jednotková cena;DPH %;Cena vè. DPH;Èárové kódy
01;83204;83204;;ANIMONDA paštika CLASSIC -multimasovı koktejl pro koèky 100g;;144;KS;13,57;15;15,6;4017721832045, 4017721834414
01;83205;83205;;ANIMONDA paštika CLASSIC - krùta, králík pro koèky 100g;;234;KS;13,57;15;15,6;4017721832052, 4017721834421
01;83207;83207;;ANIMONDA paštika Baby-Paté 100g;;753;KS;13,57;15;15,6;4017721832076, 4017721834360
01;83210;83210;;ANIMONDA paštika MENUE - drùbe, tìstoviny pro koèky 100g;;404;KS;13,57;15;15,6;4017721832106
01;83211;83211;;ANIMONDA paštika MENUE - hovìzí + brambory pro koèky100g;;540;KS;13,57;15;15,6;4017721832113
01;83220;83220;;ANIMONDA paštika KITTEN - hovìzí pro koata 100g;;365;KS;13,57;15;15,6;4017721832205, 4017721834483
01;83221;83449;;ANIMONDA paštika KITTEN - drùbeí pro koata 100g;;217;KS;13,57;15;15,6;4017721832212, 4017721834490
01;83222;83222;;ANIMONDA paštika SENIOR - hovìzí pro starší koèky 100g;;326;KS;13,57;15;15,6;4017721832229
01;83223;83223;;ANIMONDA paštika SENIOR - drùbeí pro starší koèky100g;;290;KS;13,57;15;15,6;4017721832236
01;83231;83231;;ANIMONDA paštika PRO KASTRÁTY - krùta+sır 100g;;467;KS;13,57;15;15,6;4017721832311, 4017721834452
01;83236;83236;;ANIMONDA paštika KITTEN - jehnìèí pro koata 100g;;388;KS;13,57;15;15,6;4017721832366, 4017721834537
01;83237;83237;;ANIMONDA paštika SENIOR - jehnìèí pro starší koèky 100g;;276;KS;13,57;15;15,6;4017721832373
01;83238;83238;;ANIMONDA paštika PRO KASTRÁTY - krùta+pstruh 100g;;212;KS;13,57;15;15,6;4017721832380, 4017721834476
01;83290;83290;;Vom Feinsten paštiky pro koèky MIX 3+1 ZDARMA;;526;BAL;40,61;15;46,7;8591682832901
01;83293;83293;;ANIMONDA kapsa V.F. SELECT - kuøecí filet + tuòák 85g;;85;KS;17,22;15;19,8;4017721832939
01;83294;83294;;ANIMONDA kapsa V.F. SELECT - kuøecí filet + sır 85g;;78;KS;17,22;15;19,8;4017721832946
01;83295;83295;;ANIMONDA kapsa V.F. SELECT - kuøecí filet + šunka 85g;;67;KS;17,22;15;19,8;4017721832953
01;83296;83296;;ANIMONDA kapsa V.F. SELECT - kuøecí filet + mušle 85g;;69;KS;17,22;15;19,8;4017721832960
01;83297;83297;;ANIMONDA kapsa V.F. SELECT - kuøe + vejce + aloe vera 85g;;77;KS;17,22;15;19,8;4017721832977
01;83298;83298;;ANIMONDA kapsa V.F. SELECT - kuøecí filet + moøskı cejn 85g;;89;KS;17,22;15;19,8;4017721832984
01;83299;83299;;ANIMONDA konzerva CARNY Ocean - losos + sardinky 80g;;69;KS;19,91;15;22,9;4017721832991
01;83300;83300;;ANIMONDA konzerva CARNY Ocean - tuòák + ráèci 80g;;73;KS;19,91;15;22,9;4017721833004
01;83301;83301;;ANIMONDA konzerva CARNY Ocean -  tuòák + køepelèí vejce 80g;;164;KS;19,91;15;22,9;4017721833011
01;83302;83302;;ANIMONDA konzerva CARNY Ocean - tuòák + moøské plody 80g;;99;KS;19,91;15;22,9;4017721833028
01;83304;83304;;ANIMONDA paštika CLASSIC - kuøecí játra pro koèky 100g;;578;KS;13,57;15;15,6;4017721833042, 4017721834438
01;83306;83306;;ANIMONDA paštika MARE - kuøe, moøské plody pro koèky 100g;;318;KS;13,57;15;15,6;4017721833066
01;83321;83321;;ANIMONDA konzerva CARNY OCEAN - tuòák+red snapper 80 g;;81;KS;19,91;15;22,9;4017721833219
01;83322;83322;;ANIMONDA konzerva CARNY OCEAN - tuòák + hovìzí 80 g;;92;KS;19,91;15;22,9;4017721833226
01;83338;83338;;ANIMONDA paštika Rafiné Ragout-drùbe, zvìøina v omáèce 100g;;103;KS;14,52;15;16,7;4017721833387
01;83339;83339;;ANIMONDA paštika Rafiné Ragout - ryby s bylink. omáèkou 100g;;110;KS;14,52;15;16,7;4017721833394
01;83340;83340;;ANIMONDA paštika Rafiné Ragout - kuøe s jogurt. omáèkou 100g;;83;KS;14,52;15;16,7;4017721833400
01;83341;83341;;ANIMONDA paštika Rafiné Ragout kachna+zvìøina v sır.omáèce;;73;KS;14,96;15;17,2;4017721833417
01;83342;83342;;ANIMONDA paštika Rafiné Paté kuøe + vejce 100g;;80;KS;14,96;15;17,2;4017721833424
01;83364;83364;;ANIMONDA kapsièka CARNY EXOTIC s klokanem 85 g;;137;KS;18,09;15;20,8;4017721833646
01;83365;83365;;ANIMONDA kapsièka CARNY EXOTIC s buvolem  85 g;;131;KS;18,09;15;20,8;4017721833653
01;83366;83366;;ANIMONDA kapsièka CARNY EXOTIC se pštrosem 85 g;;39;KS;18,09;15;20,8;4017721833660
01;83376;83376;;ANIMONDA konzerva BROCCONIS - hovìzí, drùbeí pro koèky 400g;;222;KS;17,3;15;19,9;4017721833769
01;83377;83377;;ANIMONDA konzerva BROCCONIS - kuøe, srdce pro koèky 400g;;31;KS;17,3;15;19,9;4017721833776
01;83378;83378;;ANIMONDA konzerva BROCCONIS - zvìøina, drùbe pro koèky 400g;;199;KS;17,3;15;19,9;4017721833783
01;83379;83379;;ANIMONDA konzerva BROCCONIS - treska, kuøe pro koèky 400g;;60;KS;17,3;15;19,9;4017721833790
01;83389;83389;;ANIMONDA kapsa Rafiné Soupé Kitten -drùb. koktejl+ráèci 100g;;382;KS;14,52;15;16,7;4017721833899
01;83390;83390;;ANIMONDA kapsa Rafiné Soupé Kitten -krùta+srdce+karotka 100g;;226;KS;14,52;15;16,7;4017721833905
01;83391;83391;;ANIMONDA kapsa Rafiné Soupé Senior - krùta+kachna+šunka 100g;;212;KS;14,52;15;16,7;4017721833912
01;83392;83392;;ANIMONDA kapsa Rafiné Soupé Senior - kuøe+losos+sır 100g;;177;KS;14,52;15;16,7;4017721833929
01;83427;83427;;ANIMONDA kapsa Rafiné Soupé Adult-drùbeí v kari omáèce 100g;;277;KS;14,96;15;17,2;4017721834278
01;83428;83428;;ANIMONDA kapsa Rafiné Soupé Adult-telecí v gril.omáèce 100 g;;221;KS;14,96;15;17,2;4017721834285
